workload	approachwithdrawal	engagement	arousal	Marker
7.6314e-01	-4.9308e-02	-5.3565e-01	1.3311e+00	0.0000e+00
7.7143e-01	-5.3962e-02	-5.4831e-01	1.3292e+00	0.0000e+00
7.7758e-01	-5.8342e-02	-5.6074e-01	1.3274e+00	0.0000e+00
7.7966e-01	-6.2472e-02	-5.7159e-01	1.3265e+00	0.0000e+00
7.7625e-01	-6.4829e-02	-5.7862e-01	1.3255e+00	0.0000e+00
7.6630e-01	-6.4166e-02	-5.8039e-01	1.3239e+00	0.0000e+00
7.4971e-01	-6.2824e-02	-5.7939e-01	1.3195e+00	0.0000e+00
7.2771e-01	-6.2724e-02	-5.7655e-01	1.3137e+00	0.0000e+00
7.0233e-01	-6.4731e-02	-5.7200e-01	1.3120e+00	0.0000e+00
6.7763e-01	-6.7439e-02	-5.6784e-01	1.3126e+00	0.0000e+00
6.5757e-01	-6.8329e-02	-5.6643e-01	1.3142e+00	0.0000e+00
6.4317e-01	-6.7874e-02	-5.6871e-01	1.3160e+00	0.0000e+00
6.3180e-01	-6.7604e-02	-5.7325e-01	1.3180e+00	0.0000e+00
6.2243e-01	-6.7762e-02	-5.7859e-01	1.3191e+00	0.0000e+00
6.1667e-01	-6.7228e-02	-5.8338e-01	1.3196e+00	0.0000e+00
6.1573e-01	-6.5873e-02	-5.8699e-01	1.3197e+00	0.0000e+00
6.1796e-01	-6.5234e-02	-5.8850e-01	1.3195e+00	0.0000e+00
6.2140e-01	-6.6216e-02	-5.8788e-01	1.3190e+00	0.0000e+00
6.2496e-01	-6.8089e-02	-5.8612e-01	1.3188e+00	0.0000e+00
6.2776e-01	-6.9877e-02	-5.8583e-01	1.3184e+00	0.0000e+00
6.2980e-01	-7.1350e-02	-5.8755e-01	1.3162e+00	0.0000e+00
6.3096e-01	-7.2806e-02	-5.8851e-01	1.3119e+00	0.0000e+00
6.3040e-01	-7.4535e-02	-5.8683e-01	1.3064e+00	0.0000e+00
6.2975e-01	-7.5964e-02	-5.8339e-01	1.3020e+00	0.0000e+00
6.2996e-01	-7.7174e-02	-5.8015e-01	1.3003e+00	0.0000e+00
6.3093e-01	-7.8141e-02	-5.7875e-01	1.3009e+00	0.0000e+00
6.3139e-01	-7.8003e-02	-5.7973e-01	1.3022e+00	0.0000e+00
6.3377e-01	-7.7625e-02	-5.8408e-01	1.3038e+00	0.0000e+00
6.4188e-01	-7.7218e-02	-5.9298e-01	1.3058e+00	0.0000e+00
6.5929e-01	-7.5591e-02	-6.0637e-01	1.3087e+00	0.0000e+00
6.8616e-01	-7.1348e-02	-6.2190e-01	1.3110e+00	0.0000e+00
7.1751e-01	-6.4921e-02	-6.3608e-01	1.3134e+00	0.0000e+00
7.4620e-01	-5.7363e-02	-6.4654e-01	1.3157e+00	0.0000e+00
7.6758e-01	-4.9577e-02	-6.5263e-01	1.3176e+00	0.0000e+00
7.8059e-01	-4.3334e-02	-6.5702e-01	1.3193e+00	0.0000e+00
7.8724e-01	-4.1472e-02	-6.6293e-01	1.3202e+00	0.0000e+00
7.9349e-01	-4.2782e-02	-6.7156e-01	1.3207e+00	0.0000e+00
8.0190e-01	-4.4980e-02	-6.8384e-01	1.3211e+00	0.0000e+00
8.1147e-01	-4.6717e-02	-6.9816e-01	1.3213e+00	0.0000e+00
8.2033e-01	-4.7632e-02	-7.1076e-01	1.3216e+00	0.0000e+00
8.2698e-01	-4.7370e-02	-7.1798e-01	1.3220e+00	0.0000e+00
8.3148e-01	-4.6833e-02	-7.1933e-01	1.3221e+00	0.0000e+00
8.3517e-01	-4.6217e-02	-7.1870e-01	1.3221e+00	0.0000e+00
8.3844e-01	-4.4661e-02	-7.1770e-01	1.3220e+00	0.0000e+00
8.4037e-01	-4.3191e-02	-7.1633e-01	1.3219e+00	0.0000e+00
8.4109e-01	-4.1550e-02	-7.1369e-01	1.3220e+00	0.0000e+00
8.4069e-01	-3.9165e-02	-7.0967e-01	1.3221e+00	0.0000e+00
8.3892e-01	-3.5746e-02	-7.0537e-01	1.3221e+00	0.0000e+00
8.3711e-01	-3.1919e-02	-7.0189e-01	1.3223e+00	0.0000e+00
8.3585e-01	-2.9324e-02	-6.9977e-01	1.3226e+00	0.0000e+00
8.3491e-01	-2.8734e-02	-6.9777e-01	1.3229e+00	0.0000e+00
8.3479e-01	-2.8427e-02	-6.9508e-01	1.3235e+00	0.0000e+00
8.3648e-01	-2.5767e-02	-6.9408e-01	1.3239e+00	0.0000e+00
8.4117e-01	-2.0007e-02	-6.9783e-01	1.3243e+00	0.0000e+00
8.4969e-01	-1.4937e-02	-7.0648e-01	1.3246e+00	0.0000e+00
8.6197e-01	-1.3605e-02	-7.1732e-01	1.3249e+00	0.0000e+00
8.7548e-01	-1.3263e-02	-7.2535e-01	1.3251e+00	0.0000e+00
8.8678e-01	-1.0537e-02	-7.2946e-01	1.3252e+00	0.0000e+00
8.9485e-01	-5.4846e-03	-7.3098e-01	1.3253e+00	0.0000e+00
9.0210e-01	2.9208e-04	-7.3033e-01	1.3254e+00	0.0000e+00
9.1090e-01	3.9688e-03	-7.2738e-01	1.3255e+00	0.0000e+00
9.2063e-01	6.0190e-03	-7.2302e-01	1.3258e+00	0.0000e+00
9.3429e-01	7.8751e-03	-7.2123e-01	1.3259e+00	0.0000e+00
9.5351e-01	1.0209e-02	-7.2527e-01	1.3258e+00	0.0000e+00
9.7461e-01	1.3636e-02	-7.3536e-01	1.3257e+00	0.0000e+00
9.9194e-01	1.7700e-02	-7.4869e-01	1.3256e+00	0.0000e+00
1.0020e+00	2.1297e-02	-7.6184e-01	1.3255e+00	0.0000e+00
1.0044e+00	2.3246e-02	-7.7227e-01	1.3255e+00	0.0000e+00
1.0008e+00	2.3211e-02	-7.8196e-01	1.3254e+00	0.0000e+00
9.9545e-01	2.2359e-02	-7.9064e-01	1.3253e+00	0.0000e+00
9.9280e-01	2.3148e-02	-7.9816e-01	1.3253e+00	0.0000e+00
9.9284e-01	2.6274e-02	-8.0402e-01	1.3253e+00	0.0000e+00
9.9403e-01	3.0142e-02	-8.0717e-01	1.3251e+00	0.0000e+00
9.9575e-01	3.3716e-02	-8.0931e-01	1.3250e+00	0.0000e+00
9.9799e-01	3.6559e-02	-8.1198e-01	1.3248e+00	0.0000e+00
1.0031e+00	3.9128e-02	-8.1565e-01	1.3247e+00	0.0000e+00
1.0130e+00	4.1554e-02	-8.1925e-01	1.3247e+00	0.0000e+00
1.0251e+00	4.3638e-02	-8.1981e-01	1.3247e+00	0.0000e+00
1.0356e+00	4.4272e-02	-8.1486e-01	1.3247e+00	0.0000e+00
1.0383e+00	4.2679e-02	-8.0531e-01	1.3246e+00	0.0000e+00
1.0291e+00	3.8213e-02	-7.9386e-01	1.3245e+00	0.0000e+00
1.0089e+00	3.1430e-02	-7.8298e-01	1.3244e+00	0.0000e+00
9.8386e-01	2.1410e-02	-7.7524e-01	1.3245e+00	0.0000e+00
9.6276e-01	1.0467e-02	-7.7364e-01	1.3248e+00	0.0000e+00
9.4979e-01	8.6804e-04	-7.7561e-01	1.3249e+00	0.0000e+00
9.4325e-01	-3.7543e-03	-7.7686e-01	1.3250e+00	0.0000e+00
9.3676e-01	-4.8437e-03	-7.7448e-01	1.3250e+00	0.0000e+00
9.2757e-01	-4.8315e-03	-7.6707e-01	1.3249e+00	0.0000e+00
9.1792e-01	-4.7548e-03	-7.5690e-01	1.3250e+00	0.0000e+00
9.0989e-01	-4.3288e-03	-7.4761e-01	1.3252e+00	0.0000e+00
9.0373e-01	-2.0541e-03	-7.4419e-01	1.3252e+00	0.0000e+00
8.9837e-01	2.2188e-03	-7.4813e-01	1.3254e+00	0.0000e+00
8.9280e-01	7.4766e-03	-7.5464e-01	1.3269e+00	0.0000e+00
8.8776e-01	1.2044e-02	-7.5990e-01	1.3302e+00	0.0000e+00
8.8392e-01	1.5073e-02	-7.6209e-01	1.3342e+00	0.0000e+00
8.8104e-01	1.5620e-02	-7.6254e-01	1.3384e+00	0.0000e+00
8.7981e-01	1.3509e-02	-7.6247e-01	1.3436e+00	0.0000e+00
8.8045e-01	9.4687e-03	-7.6004e-01	1.3471e+00	0.0000e+00
8.8084e-01	6.4851e-03	-7.5401e-01	1.3503e+00	0.0000e+00
8.7799e-01	6.3838e-03	-7.4501e-01	1.3535e+00	0.0000e+00
8.7075e-01	8.9218e-03	-7.3489e-01	1.3548e+00	0.0000e+00
8.5921e-01	1.1013e-02	-7.2454e-01	1.3553e+00	0.0000e+00
8.4498e-01	9.4579e-03	-7.1212e-01	1.3556e+00	0.0000e+00
8.2964e-01	3.9357e-03	-6.9613e-01	1.3558e+00	0.0000e+00
8.1322e-01	-1.8875e-03	-6.7870e-01	1.3555e+00	0.0000e+00
7.9602e-01	-4.7614e-03	-6.6288e-01	1.3550e+00	0.0000e+00
7.7952e-01	-4.8484e-03	-6.5158e-01	1.3544e+00	0.0000e+00
7.6652e-01	-4.0365e-03	-6.4497e-01	1.3534e+00	0.0000e+00
7.5793e-01	-2.2259e-03	-6.4135e-01	1.3509e+00	0.0000e+00
7.5094e-01	-2.5630e-04	-6.3961e-01	1.3476e+00	0.0000e+00
7.4222e-01	3.6396e-04	-6.3999e-01	1.3461e+00	0.0000e+00
7.3171e-01	-1.0380e-03	-6.4071e-01	1.3453e+00	0.0000e+00
7.1677e-01	-4.4900e-03	-6.3725e-01	1.3450e+00	0.0000e+00
6.9620e-01	-1.0320e-02	-6.2626e-01	1.3451e+00	0.0000e+00
6.7254e-01	-1.7911e-02	-6.0860e-01	1.3456e+00	0.0000e+00
6.4932e-01	-2.4888e-02	-5.8785e-01	1.3459e+00	0.0000e+00
6.2966e-01	-2.9713e-02	-5.6900e-01	1.3462e+00	0.0000e+00
6.1575e-01	-3.2103e-02	-5.5569e-01	1.3463e+00	0.0000e+00
6.0817e-01	-3.1662e-02	-5.4524e-01	1.3466e+00	0.0000e+00
6.0516e-01	-2.9616e-02	-5.3521e-01	1.3467e+00	0.0000e+00
6.0305e-01	-2.8196e-02	-5.2523e-01	1.3468e+00	0.0000e+00
6.0217e-01	-2.8491e-02	-5.1697e-01	1.3465e+00	0.0000e+00
6.0379e-01	-2.8289e-02	-5.1182e-01	1.3461e+00	0.0000e+00
6.0845e-01	-2.6809e-02	-5.0816e-01	1.3458e+00	0.0000e+00
6.1485e-01	-2.4819e-02	-5.0382e-01	1.3455e+00	0.0000e+00
6.1843e-01	-2.4266e-02	-4.9757e-01	1.3453e+00	0.0000e+00
6.1470e-01	-2.6202e-02	-4.9032e-01	1.3452e+00	0.0000e+00
6.0237e-01	-2.9764e-02	-4.8427e-01	1.3450e+00	0.0000e+00
5.8290e-01	-3.2954e-02	-4.8055e-01	1.3449e+00	0.0000e+00
5.6146e-01	-3.5001e-02	-4.7755e-01	1.3450e+00	0.0000e+00
5.4365e-01	-3.5603e-02	-4.7427e-01	1.3453e+00	0.0000e+00
5.3285e-01	-3.4379e-02	-4.7077e-01	1.3456e+00	0.0000e+00
5.2803e-01	-2.9976e-02	-4.6659e-01	1.3461e+00	0.0000e+00
5.2537e-01	-2.4351e-02	-4.5937e-01	1.3465e+00	0.0000e+00
5.2319e-01	-1.9452e-02	-4.4892e-01	1.3470e+00	0.0000e+00
5.2289e-01	-1.6133e-02	-4.3742e-01	1.3474e+00	0.0000e+00
5.2618e-01	-1.3057e-02	-4.2900e-01	1.3479e+00	0.0000e+00
5.3309e-01	-9.7396e-03	-4.2632e-01	1.3485e+00	0.0000e+00
5.4131e-01	-6.1628e-03	-4.2831e-01	1.3490e+00	0.0000e+00
5.4899e-01	-3.6741e-03	-4.3221e-01	1.3495e+00	0.0000e+00
5.5531e-01	-3.4670e-03	-4.3302e-01	1.3499e+00	0.0000e+00
5.6063e-01	-4.9831e-03	-4.2792e-01	1.3502e+00	0.0000e+00
5.6562e-01	-7.5651e-03	-4.1896e-01	1.3503e+00	0.0000e+00
5.7084e-01	-9.7767e-03	-4.1034e-01	1.3504e+00	0.0000e+00
5.7706e-01	-1.1229e-02	-4.0416e-01	1.3504e+00	0.0000e+00
5.8381e-01	-1.1951e-02	-4.0024e-01	1.3503e+00	0.0000e+00
5.8999e-01	-1.2439e-02	-3.9771e-01	1.3501e+00	0.0000e+00
5.9451e-01	-1.2273e-02	-3.9647e-01	1.3498e+00	0.0000e+00
5.9654e-01	-1.2419e-02	-3.9608e-01	1.3495e+00	0.0000e+00
5.9815e-01	-1.4259e-02	-3.9652e-01	1.3493e+00	0.0000e+00
6.0086e-01	-1.7374e-02	-3.9725e-01	1.3491e+00	0.0000e+00
6.0488e-01	-1.9922e-02	-3.9793e-01	1.3489e+00	0.0000e+00
6.0933e-01	-2.0632e-02	-3.9892e-01	1.3488e+00	0.0000e+00
6.1246e-01	-2.0741e-02	-3.9982e-01	1.3487e+00	0.0000e+00
6.1379e-01	-2.1666e-02	-3.9924e-01	1.3486e+00	0.0000e+00
6.1443e-01	-2.3801e-02	-3.9725e-01	1.3485e+00	0.0000e+00
6.1530e-01	-2.6415e-02	-3.9534e-01	1.3482e+00	0.0000e+00
6.1748e-01	-2.9100e-02	-3.9425e-01	1.3478e+00	0.0000e+00
6.2206e-01	-3.1790e-02	-3.9416e-01	1.3482e+00	0.0000e+00
6.3005e-01	-3.3811e-02	-3.9430e-01	1.3500e+00	0.0000e+00
6.4081e-01	-3.4843e-02	-3.9443e-01	1.3521e+00	0.0000e+00
6.5298e-01	-3.5672e-02	-3.9588e-01	1.3543e+00	0.0000e+00
6.6480e-01	-3.5525e-02	-3.9968e-01	1.3570e+00	0.0000e+00
6.7433e-01	-3.2819e-02	-4.0584e-01	1.3586e+00	0.0000e+00
6.8188e-01	-2.8931e-02	-4.1376e-01	1.3599e+00	0.0000e+00
6.8960e-01	-2.6905e-02	-4.2326e-01	1.3608e+00	0.0000e+00
6.9730e-01	-2.7575e-02	-4.3266e-01	1.3617e+00	0.0000e+00
7.0298e-01	-2.9725e-02	-4.3945e-01	1.3625e+00	0.0000e+00
7.0562e-01	-3.2757e-02	-4.4246e-01	1.3638e+00	0.0000e+00
7.0609e-01	-3.5207e-02	-4.4237e-01	1.3664e+00	0.0000e+00
7.0694e-01	-3.6860e-02	-4.4090e-01	1.3690e+00	0.0000e+00
7.0746e-01	-3.6813e-02	-4.3855e-01	1.3720e+00	0.0000e+00
7.0616e-01	-3.6805e-02	-4.3582e-01	1.3762e+00	0.0000e+00
7.0448e-01	-3.8168e-02	-4.3400e-01	1.3813e+00	0.0000e+00
7.0665e-01	-4.0471e-02	-4.3634e-01	1.3851e+00	0.0000e+00
7.1577e-01	-4.2419e-02	-4.4626e-01	1.3876e+00	0.0000e+00
7.3187e-01	-4.3261e-02	-4.6410e-01	1.3904e+00	0.0000e+00
7.5201e-01	-4.2175e-02	-4.8703e-01	1.3917e+00	0.0000e+00
7.7208e-01	-4.0898e-02	-5.0937e-01	1.3920e+00	0.0000e+00
7.8835e-01	-4.1130e-02	-5.2646e-01	1.3913e+00	0.0000e+00
7.9906e-01	-4.3856e-02	-5.3608e-01	1.3903e+00	0.0000e+00
8.0577e-01	-4.9826e-02	-5.4111e-01	1.3886e+00	0.0000e+00
8.1119e-01	-5.7119e-02	-5.4432e-01	1.3870e+00	0.0000e+00
8.1539e-01	-6.4091e-02	-5.4645e-01	1.3853e+00	0.0000e+00
8.1739e-01	-6.8483e-02	-5.4803e-01	1.3836e+00	0.0000e+00
8.1644e-01	-7.0855e-02	-5.4866e-01	1.3820e+00	0.0000e+00
8.1213e-01	-7.2745e-02	-5.4665e-01	1.3803e+00	0.0000e+00
8.0406e-01	-7.4651e-02	-5.4072e-01	1.3794e+00	0.0000e+00
7.9329e-01	-7.7031e-02	-5.3237e-01	1.3790e+00	0.0000e+00
7.8143e-01	-7.9973e-02	-5.2425e-01	1.3793e+00	0.0000e+00
7.7004e-01	-8.3544e-02	-5.1818e-01	1.3800e+00	0.0000e+00
7.5955e-01	-8.8098e-02	-5.1536e-01	1.3808e+00	0.0000e+00
7.5000e-01	-9.2288e-02	-5.1584e-01	1.3815e+00	0.0000e+00
7.4055e-01	-9.5536e-02	-5.1840e-01	1.3819e+00	0.0000e+00
7.3106e-01	-9.6851e-02	-5.2171e-01	1.3818e+00	0.0000e+00
7.2242e-01	-9.5081e-02	-5.2480e-01	1.3813e+00	0.0000e+00
7.1494e-01	-9.1065e-02	-5.2734e-01	1.3803e+00	0.0000e+00
7.0844e-01	-8.7292e-02	-5.2927e-01	1.3791e+00	0.0000e+00
7.0309e-01	-8.4712e-02	-5.3051e-01	1.3776e+00	0.0000e+00
6.9798e-01	-8.2652e-02	-5.3018e-01	1.3765e+00	0.0000e+00
6.9320e-01	-8.0266e-02	-5.2819e-01	1.3754e+00	0.0000e+00
6.8855e-01	-7.7348e-02	-5.2581e-01	1.3744e+00	0.0000e+00
6.8340e-01	-7.3865e-02	-5.2336e-01	1.3736e+00	0.0000e+00
6.7846e-01	-6.9432e-02	-5.2044e-01	1.3725e+00	0.0000e+00
6.7474e-01	-6.4830e-02	-5.1714e-01	1.3717e+00	0.0000e+00
6.7173e-01	-6.1439e-02	-5.1416e-01	1.3709e+00	0.0000e+00
6.6904e-01	-5.9516e-02	-5.1135e-01	1.3701e+00	0.0000e+00
6.6586e-01	-5.9062e-02	-5.0878e-01	1.3697e+00	0.0000e+00
6.6138e-01	-6.0542e-02	-5.0643e-01	1.3692e+00	0.0000e+00
6.5405e-01	-6.3504e-02	-5.0474e-01	1.3688e+00	0.0000e+00
6.4427e-01	-6.7055e-02	-5.0305e-01	1.3684e+00	0.0000e+00
6.3332e-01	-6.9784e-02	-5.0060e-01	1.3677e+00	0.0000e+00
6.2271e-01	-7.0583e-02	-4.9711e-01	1.3670e+00	0.0000e+00
6.1429e-01	-7.0084e-02	-4.9238e-01	1.3663e+00	0.0000e+00
6.0841e-01	-6.8538e-02	-4.8553e-01	1.3656e+00	0.0000e+00
6.0348e-01	-6.6220e-02	-4.7636e-01	1.3656e+00	0.0000e+00
5.9945e-01	-6.5384e-02	-4.6702e-01	1.3651e+00	0.0000e+00
5.9720e-01	-6.5747e-02	-4.6016e-01	1.3649e+00	0.0000e+00
5.9708e-01	-6.6458e-02	-4.5725e-01	1.3648e+00	0.0000e+00
5.9770e-01	-6.7273e-02	-4.5730e-01	1.3647e+00	0.0000e+00
5.9628e-01	-6.7689e-02	-4.5795e-01	1.3644e+00	0.0000e+00
5.9196e-01	-6.8559e-02	-4.5901e-01	1.3641e+00	0.0000e+00
5.8518e-01	-6.9697e-02	-4.6010e-01	1.3636e+00	0.0000e+00
5.7522e-01	-7.0314e-02	-4.6096e-01	1.3632e+00	0.0000e+00
5.6098e-01	-7.0013e-02	-4.5951e-01	1.3628e+00	0.0000e+00
5.4255e-01	-6.9155e-02	-4.5288e-01	1.3622e+00	0.0000e+00
5.2164e-01	-6.8235e-02	-4.4158e-01	1.3618e+00	0.0000e+00
5.0080e-01	-6.7527e-02	-4.2656e-01	1.3615e+00	0.0000e+00
4.8322e-01	-6.6163e-02	-4.1089e-01	1.3613e+00	0.0000e+00
4.7135e-01	-6.4422e-02	-3.9866e-01	1.3610e+00	0.0000e+00
4.6498e-01	-6.2239e-02	-3.9156e-01	1.3605e+00	0.0000e+00
4.6129e-01	-5.9236e-02	-3.8715e-01	1.3601e+00	0.0000e+00
4.5760e-01	-5.7018e-02	-3.8376e-01	1.3598e+00	0.0000e+00
4.5400e-01	-5.5794e-02	-3.8158e-01	1.3593e+00	0.0000e+00
4.5124e-01	-5.5098e-02	-3.8048e-01	1.3588e+00	0.0000e+00
4.4951e-01	-5.3599e-02	-3.8093e-01	1.3582e+00	0.0000e+00
4.4881e-01	-5.2372e-02	-3.8270e-01	1.3578e+00	0.0000e+00
4.5106e-01	-5.2091e-02	-3.8566e-01	1.3576e+00	0.0000e+00
4.5736e-01	-5.2248e-02	-3.8891e-01	1.3575e+00	0.0000e+00
4.6606e-01	-5.0934e-02	-3.9173e-01	1.3574e+00	0.0000e+00
4.7551e-01	-4.8621e-02	-3.9406e-01	1.3574e+00	0.0000e+00
4.8523e-01	-4.5012e-02	-3.9549e-01	1.3573e+00	0.0000e+00
4.9595e-01	-4.1541e-02	-3.9624e-01	1.3570e+00	0.0000e+00
5.0701e-01	-3.9872e-02	-3.9658e-01	1.3568e+00	0.0000e+00
5.1590e-01	-4.0281e-02	-3.9649e-01	1.3567e+00	0.0000e+00
5.2089e-01	-4.2402e-02	-3.9579e-01	1.3564e+00	0.0000e+00
5.2203e-01	-4.5059e-02	-3.9395e-01	1.3559e+00	0.0000e+00
5.2192e-01	-4.6598e-02	-3.9062e-01	1.3553e+00	0.0000e+00
5.2234e-01	-4.6933e-02	-3.8664e-01	1.3549e+00	0.0000e+00
5.2351e-01	-4.6869e-02	-3.8376e-01	1.3547e+00	0.0000e+00
5.2505e-01	-4.7669e-02	-3.8261e-01	1.3543e+00	0.0000e+00
5.2720e-01	-4.9529e-02	-3.8150e-01	1.3539e+00	0.0000e+00
5.3040e-01	-5.2096e-02	-3.7985e-01	1.3535e+00	0.0000e+00
5.3460e-01	-5.3984e-02	-3.7913e-01	1.3530e+00	0.0000e+00
5.3938e-01	-5.4448e-02	-3.8055e-01	1.3526e+00	0.0000e+00
5.4513e-01	-5.4081e-02	-3.8352e-01	1.3523e+00	0.0000e+00
5.5143e-01	-5.3457e-02	-3.8762e-01	1.3522e+00	0.0000e+00
5.5743e-01	-5.2385e-02	-3.9248e-01	1.3522e+00	0.0000e+00
5.6330e-01	-5.1067e-02	-3.9722e-01	1.3521e+00	0.0000e+00
5.6951e-01	-5.0538e-02	-4.0061e-01	1.3522e+00	0.0000e+00
5.7539e-01	-5.0547e-02	-4.0199e-01	1.3523e+00	0.0000e+00
5.7985e-01	-5.0156e-02	-4.0105e-01	1.3523e+00	0.0000e+00
5.8236e-01	-4.9784e-02	-3.9873e-01	1.3522e+00	0.0000e+00
5.8367e-01	-5.0674e-02	-3.9677e-01	1.3520e+00	0.0000e+00
5.8475e-01	-5.4254e-02	-3.9616e-01	1.3519e+00	0.0000e+00
5.8522e-01	-5.9414e-02	-3.9673e-01	1.3517e+00	0.0000e+00
5.8470e-01	-6.2627e-02	-3.9770e-01	1.3515e+00	0.0000e+00
5.8353e-01	-6.3106e-02	-3.9866e-01	1.3513e+00	0.0000e+00
5.8218e-01	-6.1841e-02	-3.9919e-01	1.3511e+00	0.0000e+00
5.8087e-01	-6.0320e-02	-3.9946e-01	1.3507e+00	0.0000e+00
5.7977e-01	-5.8549e-02	-4.0004e-01	1.3503e+00	0.0000e+00
5.7949e-01	-5.6308e-02	-4.0038e-01	1.3501e+00	0.0000e+00
5.8075e-01	-5.3626e-02	-4.0038e-01	1.3498e+00	0.0000e+00
